Institution,voucher.id,species,subspecies,rec.taxa,date,Type.status,collector,locality,country,elevation,habitat,age,sex,culmen.length,culmen.width,culmen.depth,tail.length,wing.flat,tarsus.length,alula.color,alula.margin,lore.color,lore.black.length,tail.gray.length,no.gray.rectrices,collar.color (pale/uniform),crown.color,mantle.color,supraloral.color,post.ocular.color,widest.median.tip,widest.greater.tip,wing.bar.ratio,throat color,breast,belly,undertail.covs,lat, notes
AMNH,494149,P. albogriseus,albogriseus,P. a. albogriseus,9/3/1898,No,NA,Sta. ANA Valley; CumaNA,Venezuela,NA,NA,Imm,M,9.64,6.47,5.28,NA,NA,NA,black,0,black,4.99,NA,NA,pale,dull chestnut,olive-gray,white,black,4.35,2,2.175,white,light gray,yellow,white,,
AMNH,322984,P. albogriseus,albogriseus,P. a. albogriseus,11/14/37,No,W. H. Phelps Jr,Colonia Tavar.,Venezuela,1900,NA,Imm,M,9.62,7.18,5.68,57,72,NA,black,0,black,4.5,NA,NA,pale,chestnut,olive,white,black,4.68,2.6,1.8,ivory,yellow,yellow,yellow,,
AMNH,390731,P. albogriseus,ornatus,P. a. ornatus,9/21/20,No,Austin Pual Smith,Bonilla,Costa Rica,610,NA,U,F,9.77,7.45,6.15,NA,69,NA,brown,0,black,3.52,NA,NA,pale,chestnut,olive-brown,white,black,5.5,2.31,2.380952381,yellow,yellow,yellow,yellow,,
AMNH,43658,P. albogriseus,ornatus,P. a. ornatus,??,No,Lawrence,?,Costa Rica,NA,NA,U,F,11.1,7.73,6.17,53,72,NA,brown,0,black,3.24,NA,NA,difficult,chestnut,olive-gray,white,black,3.3,3.01,1.096345515,yellow,yellow,yellow,yellow,,
AMNH,77710,P. albogriseus,ornatus,P. a. ornatus,8/26/01,No,J. H. Batty,Chiriqui; Boqueron,PaNAma,NA,NA,U,F,9.76,7.14,6.33,50,66,NA,brown,0,black,4.56,NA,NA,pale,chestnut,olive-brown,white,black,NA,NA,NA,yellow,yellow,yellow,yellow,,
AMNH,182870,P. albogriseus,ornatus,P. a. ornatus,3/13/24,No,Boulton Griscom,Cerro Flores; Chiriqui,PaNAma,1220,NA,U,F,10,7.88,6.2,53,69,NA,brown,0.3,black,5,NA,NA,pale,chestnut,olive-brown,white,black,3.14,1.35,2.325925926,yellow,yellow,yellow,yellow,,Very slight buff margin on alula that does not extend more than 50% the distance to the tip
AMNH,390730,P. albogriseus,ornatus,P. a. ornatus,10/27/20,No,Austin Pual Smith,Navarro,Costa Rica,1220,NA,A,M,10.1,7.15,5.33,53,76,NA,black,0,black,3.05,33.85,1,pale,steel blue,gray ,white,black,3.45,1.91,1.806282723,light gray,light gray,white,white,,
AMNH,182869,P. albogriseus,ornatus,P. a. ornatus,3/9/24,No,Boulton Griscom,Chiriqui,PaNAma,1100,NA,A,M,9.93,7.55,6.59,55,71,NA,black,0,black,4.99,18.52,1,pale,steel blue,gray ,white,black,3.64,2.29,1.589519651,light gray,light gray,white,white,,
AMNH,494162,P. albogriseus,ornatus,P. a. ornatus,11/20/03,No,H. J. Watson,Boqueti; Chiriqui,PaNAma,1220,NA,A,M,10.61,7.13,5.5,56,76,NA,black,0,black,3.8,39.22,1,pale,steel blue,gray ,white,black,3.68,2.13,1.727699531,light gray,light gray,white,white,,
AMNH,77787,P. albogriseus,ornatus,P. a. ornatus,9/13/01,No,J. H. Batty,Chiriqui; Boqueron,PaNAma,NA,NA,Imm,M,10.5,7.54,6.67,51,NA,NA,brown,0,black,3.81,NA,NA,pale,chestnut,olive,white,black,3.93,2.79,1.408602151,yellow,yellow,yellow,yellow,,
AMNH,246286,P. albogriseus,ornatus,P. a. ornatus,1/13/26,No,R. R. Benson,Chitra; Pacific Slope; Verguas,PaNAma,1100,NA,Imm,M,10.78,7.7,5.7,52,75,NA,black,0,black,5.38,NA,NA,pale,chestnut,olive,white,black,4.3,1.42,3.028169014,light gray,yellow,yellow,yellow,,
ANSP,184815,P. salvini,guayaquilensis,P. salvini,4/2/92,No,G. H. ROSENBERG,CA. 2KM NW CATACOCHA; LOJA,Ecuador,1550,DISTURBED HUMID THORN FOREST,A,F,8.6,5.54,5.13,46,67,NA,brown,1.33,dark gray,0,NA,NA,uniform,dull chestnut,olive-brown,gray,gray,2.94,2.03,1.448275862,ivory,yellow,yellow,yellow,,
ANSP,185628,P. salvini,salvini,P. salvini,8/9/92,No,F. SORNOZA,RIO MAYO; ZAMORA-CHINCHIPE,Ecuador,650,DRY FOREST,A,F,9.65,5.69,5.02,49,69,NA,brown,1.1,dark gray,0,NA,NA,uniform,dull chestnut,olive-brown,gray,gray,2.39,1.64,1.457317073,light gray,yellow,yellow,yellow,,
ANSP,117851,P. salvini,salvini,P. salvini,4/21/33,No,M. A. Carriker Jr.,CAJABAMBA; CAJAMARCA,Peru,2130,NA,A,F,9.06,5.43,4.9,52,70,NA,brown,0.61,dark gray,1.38,NA,NA,uniform,dull chestnut,olive-gray,white,gray,2.52,2.57,0.980544747,ivory,yellow,yellow,yellow,,
